,top_or_bottom,rank,latent_feature_index,group_median_views
185,bottom,85,14583,4107.0
186,bottom,86,62753,4137.0
187,bottom,87,54856,4149.0
188,bottom,88,55043,4166.0
189,bottom,89,38303,4169.0
190,bottom,90,57696,4170.0
191,bottom,91,60152,4184.0
192,bottom,92,65222,4206.0
193,bottom,93,28428,4222.0
194,bottom,94,2919,4227.0
195,bottom,95,18818,4242.0
196,bottom,96,32240,4260.0
197,bottom,97,64139,4261.0
198,bottom,98,60705,4264.0
199,bottom,99,33219,4265.0
